"date,amount,description"
"2024-01-03,-1250.75,Supermarket groceries weekly"
"2024-01-05,-850.50,Coffee shop daily"
"2024-01-07,-3200,Winter jacket purchase"
"2024-01-08,-450,Public transport card"
"2024-01-10,75000,Main salary January"
"2024-01-12,-1800,Restaurant dinner"
"2024-01-14,-950,Pharmacy medicines"
"2024-01-15,-2800,Electronics store"
"2024-01-17,-1200,Pet food and supplies"
"2024-01-18,-650,Gym membership"
"2024-01-20,-4200,Online courses subscription"
"2024-01-22,-1500,Car wash service"
"2024-01-24,-3500,Concert tickets"
"2024-01-25,-2200,Home furniture"
"2024-01-27,-1800,Beauty salon"
"2024-01-28,-950,Mobile phone bill"
"2024-01-30,-2800,Children toys store"
"2024-02-01,-1250.75,Supermarket groceries weekly"
"2024-02-03,-850.50,Coffee shop daily"
"2024-02-05,-3200,Gas station refuel"
"2024-02-07,-450,Public transport card"
"2024-02-08,15000,Freelance project payment"
"2024-02-10,-1800,Restaurant business lunch"
"2024-02-12,-950,Pharmacy vitamins"
"2024-02-14,-5500,Jewelry valentine gift"
"2024-02-15,-1200,Pet veterinary visit"
"2024-02-17,-2800,Sport equipment"
"2024-02-19,-4200,Hotel booking"
"2024-02-20,-1500,Car maintenance"
"2024-02-22,-3500,Theater tickets"
"2024-02-24,-2200,Home decor"
"2024-02-25,68000,Main salary February"
"2024-02-27,-1800,Hair salon"
"2024-02-28,-950,Internet bill"
"2024-03-01,-1250.75,Supermarket groceries weekly"
"2024-03-03,-850.50,Coffee shop daily"
"2024-03-05,-3200,Electronics accessories"
"2024-03-07,-450,Public transport card"
"2024-03-08,-1800,Restaurant family dinner"
"2024-03-10,-950,Pharmacy supplements"
"2024-03-12,-2800,Flowers birthday"
"2024-03-14,-1200,Pet grooming"
"2024-03-15,25000,Bonus payment"
"2024-03-17,-4200,Weekend trip"
"2024-03-19,-1500,Car insurance"
"2024-03-21,-3500,Cinema tickets"
"2024-03-23,-2200,Kitchen appliances"
"2024-03-25,-1800,Beauty products"
"2024-03-27,-950,Utility bills"
"2024-03-29,-2800,Children education"
"2024-04-01,-1250.75,Supermarket groceries weekly"
"2024-04-03,-850.50,Coffee shop daily"
"2024-04-05,-3200,Gas station refuel"
"2024-04-07,-450,Public transport card"
"2024-04-08,82000,Main salary April"
"2024-04-10,-1800,Restaurant with friends"
"2024-04-12,-950,Pharmacy first aid"
"2024-04-14,-5500,Summer clothes shopping"
"2024-04-15,-1200,Pet supplies"
"2024-04-17,-2800,Fitness equipment"
"2024-04-19,-4200,Vacation booking"
"2024-04-21,-1500,Car repair"
"2024-04-23,-3500,Concert VIP tickets"
"2024-04-25,-2200,Home renovation"
"2024-04-27,-1800,Spa treatment"
"2024-04-29,-950,Electricity bill"
"2024-05-01,-2800,Children sports"
"2024-05-03,95000,Main salary May"
"2024-05-05,-1250.75,Supermarket groceries weekly"
"2024-05-07,-850.50,Coffee shop daily"
"2024-05-09,-3200,New smartphone"
"2024-05-11,-450,Public transport card"
"2024-05-13,-1800,Restaurant celebration"
"2024-05-15,-950,Pharmacy prescription"
"2024-05-17,-4200,Furniture delivery"
"2024-05-19,-1500,Car cleaning"
"2024-05-21,-3500,Broadway show"
"2024-05-23,-2200,Garden supplies"
"2024-05-25,-1800,Beauty treatments"
"2024-05-27,-950,Water bill"
"2024-05-29,-2800,Children summer camp"
"2024-05-31,18000,Investment return"
